Date : 2025-05-19 18:39:16
Directory : d:\VSCode\Programs\my-vite-proj01
Total : 65 files,  6242 codes, 76 comments, 152 blanks, all 6470 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\VSCode\Programs\my-vite-proj01\src\store\commentId.ts                        | TypeScript         |         12 |          0 |          1 |         13 |
| d:\VSCode\Programs\my-vite-proj01\src\store\historyList.ts                      | TypeScript         |         10 |          0 |          1 |         11 |
| d:\VSCode\Programs\my-vite-proj01\src\store\songList.ts                         | TypeScript         |          8 |          0 |          1 |          9 |
| d:\VSCode\Programs\my-vite-proj01\src\store\token.ts                            | TypeScript         |         10 |          1 |          1 |         12 |
| d:\VSCode\Programs\my-vite-proj01\src\style.css                                 | CSS                |          8 |          0 |          4 |         12 |
| d:\VSCode\Programs\my-vite-proj01\src\utils\request.ts                          | TypeScript         |         16 |          9 |          4 |         29 |
| d:\VSCode\Programs\my-vite-proj01\src\views\comment.vue                         | Vue                |         86 |          6 |          7 |         99 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\dynamics.vue                 | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\find.vue                     | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\index.vue                    | Vue                |         49 |          4 |          4 |         57 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\blog.vue           | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\index.vue          | Vue                |         25 |          0 |          4 |         29 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\listen.vue         | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\live.vue           | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\index.vue    | Vue                |         13 |          0 |          3 |         16 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\rank.vue     | Vue                |          5 |          0 |          2 |          7 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\selected.vue | Vue                |        111 |          3 |         14 |        128 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\roaming.vue                  | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\layout\user.vue                     | Vue                |          5 |          0 |          3 |          8 |
| d:\VSCode\Programs\my-vite-proj01\src\views\mylogin.vue                         | Vue                |         53 |          5 |          8 |         66 |
| d:\VSCode\Programs\my-vite-proj01\src\views\recordMain.vue                      | Vue                |         54 |          7 |          5 |         66 |
| d:\VSCode\Programs\my-vite-proj01\src\views\songList.vue                        | Vue                |         85 |          7 |          5 |         97 |
| d:\VSCode\Programs\my-vite-proj01\src\vite-env.d.ts                             | TypeScript         |          0 |          1 |          1 |          2 |
| d:\VSCode\Programs\my-vite-proj01\tsconfig.app.json                             | JSON               |         15 |          1 |          3 |         19 |
| d:\VSCode\Programs\my-vite-proj01\tsconfig.json                                 | JSON with Comments |         24 |          0 |          1 |         25 |
| d:\VSCode\Programs\my-vite-proj01\tsconfig.node.json                            | JSON               |         23 |          2 |          4 |         29 |
| d:\VSCode\Programs\my-vite-proj01\vite.config.ts                                | TypeScript         |         26 |          1 |          2 |         29 |
| Total                                                                           |                    |      6,242 |         76 |        152 |      6,470 |
+---------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
